text,id,annotation
"السلام عصر التفاهة والتسول الإلكتروني
نحن نعيش في أسوأ حقبة في التاريخ .... نعيش في أصعب الأيام على البشر وفي أقذر قرون من القرون وأقذر حقبة في التاريخ ..... نحن نعيش في زمن مخيف للغاية ،  الوقت الذي نرى ونسمع فيه أشياء مرعبة من صنع الإنسان .. ..
     تغيرت الموازين  والتقت الخطايا  وظهر الفساد في البر والبحر.  نحن في نهاية الوقت.  التمسك بدينه أشبه بجمرة في يده .... نسأل الله اللطف لنا 🤲 ونسأله أن يغطينا فوق الأرض  وتحت الأرض  ويوم العرض 🤲
     حفظنا الله مما سيأتي 🤲",R_1000228384782438,['Criticism of Festival - Social Values']
"لا ترقص على جرح إخوانك 🇵🇸
#مقاطعة_مهرجان_موازين",R_1000236178340613,['hashtags boycott']
L9itoni kantsnat liha😭,R_1000476905089237,['Autre']
Islaam Islaam كانت تعلم الناس قراءة القرآن الكريم,R_1000617528737251,['Outliers']
Chkatssna mn waahd kaychje3 lman U,R_1000795378135000,['Autre']
Playboi carti button,R_1000861248057115,['Autre']
Hafid Ikid https://t.me/+kT7scD4yRh0zN2Y0,R_1000957664210154,['Outliers']
Hamza Idali Hamza Ait Tirite tz😂,R_1001219378387615,['Outliers']
Ali Belaouad و دير بحال محمد رمضان متبقاش حاضي عاند و متحسدش خير لي دير فراسك نوض تخدم عري على كتافك حتى الى مكانوش لكتاف عري على طرمتك بلاست حاضي ناس,R_1001260401515655,['Autre']
No comment..👎🏻,R_1001286025010963,['Autre']
هديك نهار جابو ميا خليف دابا جابو نيkي باغين شعب ابقا غير اكفت ويشرب صابون بخمسين ريال,R_1001307981555920,['discussing choices singers']
@lolo.amed ملي تفهمي المعنى تاع اغانيهم غا نقولك صباح الخير 😂😂,R_1001335761527195,['Autre']
"#قاطع_موازين_من_أجل_فلسطين
#قاطع_موازين_من_أجل_فلسطين
#قاطع_موازين_من_أجل_فلسطين
#قاطع_موازين_من_أجل_فلسطين",R_1001378424840607,['Criticism of Festival - Palestine']
